79600,"MA CT,Worcester"
47894,"DC VA MD WV,Washington Arlington Alexandria"
74500,"MA,Leominster Gardner"
28940,"TN,Knoxville"
44220,"OH,Springfield"
14010,"IL,Bloomington"
12540,"CA,Bakersfield"
43420,"AZ,Sierra Vista Douglas"
42200,"CA,Santa Maria Santa Barbara"
33740,"LA,Monroe"
33124,"FL,Miami Miami Beach Kendall"
21060,"KY,Elizabethtown Fort Knox"
41900,"PR,San German"
12980,"MI,Battle Creek"
48140,"WI,Wausau"
31540,"WI,Madison"
27900,"MO,Joplin"
11020,"PA,Altoona"
20020,"AL,Dothan"
13820,"AL,Birmingham Hoover"
24580,"WI,Green Bay"
29700,"TX,Laredo"
35084,"NJ PA,Newark"
48900,"NC,Wilmington"
33540,"MT,Missoula"
36500,"WA,Olympia Tumwater"
39140,"AZ,Prescott"
45820,"KS,Topeka"
38540,"ID,Pocatello"
19380,"OH,Dayton"
33460,"MN WI,Minneapolis St. Paul Bloomington"
35620,"NY NJ PA,New York Newark Jersey City"
37340,"FL,Palm Bay Melbourne Titusville"
23844,"IN,Gary"
21780,"IN KY,Evansville"
24300,"CO,Grand Junction"
18880,"FL,Crestview Fort Walton Beach Destin"
25620,"MS,Hattiesburg"
44700,"CA,Stockton Lodi"
19340,"IA IL,Davenport Moline Rock Island"
25940,"SC,Hilton Head Island Bluffton Beaufort"
20220,"IA,Dubuque"
24540,"CO,Greeley"
39660,"SD,Rapid City"
15804,"NJ,Camden"
35840,"FL,North Port Sarasota Bradenton"
15180,"TX,Brownsville Harlingen"
13460,"OR,Bend Redmond"
49700,"CA,Yuba City"
13140,"TX,Beaumont Port Arthur"
41540,"MD DE,Salisbury"
22220,"AR MO,Fayetteville Springdale Rogers"
28700,"TN VA,Kingsport Bristol Bristol"
22540,"WI,Fond du Lac"
26820,"ID,Idaho Falls"
29200,"IN,Lafayette West Lafayette"
42660,"WA,Seattle Tacoma Bellevue"
73604,"MA NH,Haverhill Newburyport Amesbury Town"
26380,"LA,Houma Thibodaux"
35660,"MI,Niles Benton Harbor"
31020,"WA,Longview"
13020,"MI,Bay City"
34980,"TN,Nashville Davidson  Murfreesboro  Franklin"
17780,"TX,College Station Bryan"
47300,"CA,Visalia Porterville"
16540,"PA,Chambersburg Waynesboro"
47380,"TX,Waco"
22420,"MI,Flint"
13740,"MT,Billings"
40060,"VA,Richmond"
31900,"OH,Mansfield"
38900,"OR WA,Portland Vancouver Hillsboro"
41180,"MO IL,St. Louis"
17460,"OH,Cleveland Elyria"
37860,"FL,Pensacola Ferry Pass Brent"
22520,"AL,Florence Muscle Shoals"
24500,"MT,Great Falls"
16980,"IL IN WI,Chicago Naperville Elgin"
37100,"CA,Oxnard Thousand Oaks Ventura"
40140,"CA,Riverside San Bernardino Ontario"
12420,"TX,Austin Round Rock"
17860,"MO,Columbia"
26620,"AL,Huntsville"
31080,"CA,Los Angeles Long Beach Anaheim"
27140,"MS,Jackson"
27500,"WI,Janesville Beloit"
77200,"RI MA,Providence Warwick"
19660,"FL,Deltona Daytona Beach Ormond Beach"
16860,"TN GA,Chattanooga"
26420,"TX,Houston The Woodlands Sugar Land"
32780,"OR,Medford"
19740,"CO,Denver Aurora Lakewood"
48660,"TX,Wichita Falls"
22380,"AZ,Flagstaff"
47020,"TX,Victoria"
28100,"IL,Kankakee"
27260,"FL,Jacksonville"
74854,"MA,Lynn Saugus Marblehead"
36980,"KY,Owensboro"
23104,"TX,Fort Worth Arlington"
48060,"NY,Watertown Fort Drum"
24140,"NC,Goldsboro"
45540,"FL,The Villages"
29180,"LA,Lafayette"
32420,"PR,Mayaguez"
25420,"PA,Harrisburg Carlisle"
24660,"NC,Greensboro High Point"
31740,"KS,Manhattan"
36420,"OK,Oklahoma City"
48424,"FL,West Palm Beach Boca Raton Delray Beach"
35100,"NC,New Bern"
20524,"NY,Dutchess County Putnam County"
17020,"CA,Chico"
37964,"PA,Philadelphia"
38940,"FL,Port St. Lucie"
